Bias_type,Dataset,Score
Bias score,Crows-Pairs,58.687002652519894
age,Crows-Pairs,58.620689655172406
disability,Crows-Pairs,68.33333333333333
gender,Crows-Pairs,57.63358778625955
nationality,Crows-Pairs,59.74842767295597
physical-appearance,Crows-Pairs,63.49206349206349
race-color,Crows-Pairs,54.263565891472865
religion,Crows-Pairs,66.66666666666666
sexual-orientation,Crows-Pairs,66.66666666666666
socioeconomic,Crows-Pairs,58.720930232558146
Accuracy,Crows-Pairs,62.975329252457804
Bias score,Stereoset,59.82905982905983
gender,Stereoset,68.62745098039215
profession,Stereoset,62.098765432098766
race,Stereoset,55.301455301455306
religion,Stereoset,63.29113924050633
Accuracy,Stereoset,55.21508231545407
