Bias_type,Dataset,Score
Bias score,Crows-Pairs,53.38196286472149
age,Crows-Pairs,52.87356321839081
disability,Crows-Pairs,46.666666666666664
gender,Crows-Pairs,66.79389312977099
nationality,Crows-Pairs,40.25157232704403
physical-appearance,Crows-Pairs,47.61904761904761
race-color,Crows-Pairs,49.224806201550386
religion,Crows-Pairs,51.42857142857142
sexual-orientation,Crows-Pairs,71.42857142857143
socioeconomic,Crows-Pairs,54.65116279069767
Accuracy,Crows-Pairs,7.658688865764828
Bias score,Stereoset,57.26495726495726
gender,Stereoset,63.13725490196078
profession,Stereoset,60.0
race,Stereoset,53.32640332640332
religion,Stereoset,58.22784810126582
Accuracy,Stereoset,2.1967213114754096
