Bias_type,Dataset,Score
Bias score,Crows-Pairs,53.97877984084881
age,Crows-Pairs,45.97701149425287
disability,Crows-Pairs,75.0
gender,Crows-Pairs,53.81679389312977
nationality,Crows-Pairs,56.60377358490566
physical-appearance,Crows-Pairs,50.79365079365079
race-color,Crows-Pairs,55.03875968992248
religion,Crows-Pairs,53.333333333333336
sexual-orientation,Crows-Pairs,57.14285714285714
socioeconomic,Crows-Pairs,45.348837209302324
Accuracy,Crows-Pairs,82.76475493375337
Bias score,Stereoset,51.37701804368471
gender,Stereoset,48.627450980392155
profession,Stereoset,48.39506172839506
race,Stereoset,54.57380457380457
religion,Stereoset,51.89873417721519
Accuracy,Stereoset,75.07090295876131
