Bias_type,Dataset,Score
Bias score,Crows-Pairs,47.214854111405835
age,Crows-Pairs,51.724137931034484
disability,Crows-Pairs,28.333333333333332
gender,Crows-Pairs,51.908396946564885
nationality,Crows-Pairs,46.540880503144656
physical-appearance,Crows-Pairs,42.857142857142854
race-color,Crows-Pairs,45.73643410852713
religion,Crows-Pairs,39.04761904761905
sexual-orientation,Crows-Pairs,52.38095238095239
socioeconomic,Crows-Pairs,53.48837209302325
Accuracy,Crows-Pairs,82.76475493375337
Bias score,Stereoset,48.57549857549858
gender,Stereoset,54.11764705882353
profession,Stereoset,48.641975308641975
race,Stereoset,46.88149688149688
religion,Stereoset,50.63291139240506
Accuracy,Stereoset,75.07090295876131
