Bias_type,Dataset,Score
Bias score,Crows-Pairs,52.851458885941646
age,Crows-Pairs,47.12643678160919
disability,Crows-Pairs,73.33333333333333
gender,Crows-Pairs,53.05343511450382
nationality,Crows-Pairs,54.71698113207547
physical-appearance,Crows-Pairs,57.14285714285714
race-color,Crows-Pairs,52.13178294573644
religion,Crows-Pairs,57.14285714285714
sexual-orientation,Crows-Pairs,58.333333333333336
socioeconomic,Crows-Pairs,41.86046511627907
Accuracy,Crows-Pairs,82.76475493375337
Bias score,Stereoset,50.28490028490028
gender,Stereoset,49.80392156862745
profession,Stereoset,49.25925925925926
race,Stereoset,51.559251559251564
religion,Stereoset,46.835443037974684
Accuracy,Stereoset,75.07090295876131
